PR_AUC,ROC_AUC,Precision,Recall,F1,Specificity,Balanced_Acc,Brier,ECE,FNR,CostRisk,tau_F1,tau_HR,tau_cost,cm_F1_tn,cm_F1_fp,cm_F1_fn,cm_F1_tp,cm_HR_tn,cm_HR_fp,cm_HR_fn,cm_HR_tp,Recall_HR,Precision_HR,FPR_HR,model,scenario,split,PR_AUC_std,FNR_std,model_code,model_name,tier,complexity_score,validation_protocol,step,Latency_ms,CompositeScore,best_PR_AUC,best_ROC_AUC,best_Precision,best_Recall,best_F1,best_Specificity,best_Balanced_Acc,best_CompositeScore,best_FNR,best_Brier,best_ECE,best_Latency_ms
1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.00030468640035838135,0.0030679626818539444,0.0,0.0,0.7780397986741971,0.9420000000000001,0.402,10720,0,0,1280,10720,0,64,1216,0.95,1.0,0.0,B1,step1_static,grouped,0.0,0.0,B1,Random Forest (tuned),Tier B,3.0,V2_grouped,step1_static,7.102408750142786,0.9994179310375785,1,0,1,1,1,1,1,0,1,0,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.646213827180622e-10,9.496225813421171e-06,0.0,0.0,0.9998383494793006,0.999,0.001,10720,0,0,1280,10720,0,0,1280,1.0,1.0,0.0,B2,step1_static,grouped,0.0,0.0,B2,Gradient Boosting,Tier B,3.4,V2_grouped,step1_static,9.32492124993587,0.9999985754602795,1,1,1,1,1,1,1,1,1,1,1,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.831423540327337e-07,1.1014048635635839e-05,0.0,0.0,0.9998009719166163,1.0,0.075,10720,0,0,1280,10720,0,2,1278,0.9984375,1.0,0.0,B3,step1_static,grouped,0.0,0.0,B3,Calibrated B2 (isotonic),Tier B,3.8,V2_grouped,step1_static,22.6950525000575,0.999998114635763,1,1,1,1,1,1,1,0,1,0,0,0
0.16516136528699643,0.5170893700443098,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.09404277188079267,0.03126398342672706,0.0,10720.0,0.006532616874038576,0.04,0.0,0,10720,0,1280,382,10338,59,1221,0.95390625,0.10563197508434986,0.9643656716417911,C1,step1_static,grouped,0.002676016158174921,0.0,C1,Monotonic-constrained GBM,Tier C,4.4,V2_grouped,step1_static,8.397401250113035,0.6237578398484724,0,0,0,1,0,0,0,0,1,0,0,0
0.9955074399338666,0.9994325734608209,0.981346309813463,0.9453125,0.962992439315559,0.9978544776119403,0.9715834888059702,0.03689515443163334,0.09164239243093138,0.0546875,181.0,0.8000646351522469,0.783,0.672,10697,23,70,1210,10686,34,64,1216,0.95,0.9728,0.003171641791044776,C2,step1_static,grouped,0.0013997761948955079,0.017451555332026338,C2,Physics-regularized logistic,Tier C,2.6,V2_grouped,step1_static,0.9173012502287747,0.9505579303362536,0,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.081253688200878e-06,9.142950857197562e-05,0.0,0.0,0.8983050847457629,0.999,0.113,10720,0,0,1280,10720,0,10,1270,0.9921875,1.0,0.0,C3,step1_static,grouped,0.0,0.0,C3,Two-stage hybrid,Tier C,5.0,V2_grouped,step1_static,7.755825000276673,0.9999842530722389,1,1,1,1,1,1,1,0,1,0,0,0
0.32067946925718727,0.7836653888759328,0.49445531637312456,0.5921875,0.5389264130821187,0.9277052238805971,0.7599463619402985,0.1119674495304376,0.11432775547149693,0.4078125,5779.0,0.0023579833847747916,0.0,0.002,9945,775,522,758,0,10720,0,1280,1.0,0.10666666666666667,1.0,A1,step1_static,leave-level-out,0.35569041033445886,0.19635488143159666,A1,Logistic + interactions,Tier A,1.0,V3_leave_Sgn,step1_static,1.829631250075181,0.5236012695699753,1,1,1,0,1,1,1,0,0,0,0,0
0.10666666666666667,0.5,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666666666666667,0.10666666666666667,0.0,10720.0,0.0,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,A2,step1_static,leave-level-out,0.14163242538250234,0.0,A2,Shallow Decision Tree,Tier A,1.6,V3_leave_Sgn,step1_static,1.8109812499460531,0.584,0,0,0,1,0,0,0,0,1,0,0,0
0.10635454250351706,0.4980964683418843,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10665246696894409,0.1064617371081334,0.0,10720.0,0.0,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,B1,step1_static,leave-level-out,0.12606801332522272,0.30743773095067284,B1,Random Forest (tuned),Tier B,3.0,V3_leave_Sgn,step1_static,7.102408750142786,0.5839115696476092,0,0,0,1,0,0,0,0,1,1,0,0
0.10316790629427243,0.145463575676306,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666653408612073,0.10666155573233653,0.0,10720.0,3.546231421259651e-07,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,B2,step1_static,leave-level-out,0.12686622519070695,0.0,B2,Gradient Boosting,Tier B,3.4,V3_leave_Sgn,step1_static,9.32492124993587,0.5826013155234102,0,0,0,1,0,0,0,0,1,0,0,0
