PR_AUC,ROC_AUC,Precision,Recall,F1,Specificity,Balanced_Acc,Brier,ECE,FNR,CostRisk,tau_F1,tau_HR,tau_cost,cm_F1_tn,cm_F1_fp,cm_F1_fn,cm_F1_tp,cm_HR_tn,cm_HR_fp,cm_HR_fn,cm_HR_tp,model,scenario,split,PR_AUC_std,FNR_std,ablation
0.9999854395492254,0.9999982680412092,0.9982859101816935,1.0,0.9991422199348087,0.9997949811382647,0.9998974905691324,0.0017573244886440662,0.005839300127021965,0.0,5.0,0.7125309300526235,0.988,0.6930000000000001,24383,5,0,2912,24388,0,139,2773,ablation_full,ablation,stratified,1.599805680054394e-05,0.0,full
0.9894974961336452,0.998324745258432,0.978207381370826,0.9557005494505495,0.9668229980892826,0.9974577661144826,0.976579157782516,0.030979620675098643,0.054852844059767085,0.04429945054945055,1129.0,0.8162952293835626,0.8210000000000001,0.804,24326,62,129,2783,24333,55,144,2768,ablation_without_engineered,ablation,stratified,0.0018295794443787755,0.006086772605792016,without_engineered
0.9999968165838146,0.999999619813924,0.9982859101816935,1.0,0.9991422199348087,0.9997949811382647,0.9998974905691324,0.0017017477048953907,0.005890142416901878,0.0,5.0,0.7327227712297749,0.988,0.674,24383,5,0,2912,24388,0,120,2792,ablation_drop_Tag_rate,ablation,stratified,0.0,0.0,drop_Tag_rate
0.9999782128304755,0.9999974091022967,0.9972602739726028,1.0,0.9986282578875172,0.9996719698212235,0.9998359849106118,0.0018435739674280893,0.005850542479536357,0.0,8.0,0.7144247684932106,0.99,0.711,24380,8,0,2912,24388,0,145,2767,ablation_drop_Ikssmin_kA,ablation,stratified,1.9529370867359557e-05,0.0,drop_Ikssmin_kA
0.9999896034833473,0.9999987608750115,0.9982859101816935,1.0,0.9991422199348087,0.9997949811382647,0.9998974905691324,0.0019189020465182058,0.0063555793200665706,0.0,5.0,0.7092677260998388,0.986,0.6970000000000001,24383,5,0,2912,24388,0,142,2770,ablation_drop_Sgn_eff_MVA,ablation,stratified,1.0486861772810714e-05,0.0,drop_Sgn_eff_MVA
0.9999743037679707,0.999996944430426,0.9969167523124358,0.9993131868131868,0.9981135311267364,0.9996309660488765,0.9994720764310316,0.001969115061319972,0.006009643663368246,0.0006868131868131869,14.0,0.7369477682388671,0.983,0.684,24379,9,2,2910,24388,0,141,2771,ablation_drop_H_s,ablation,stratified,1.8192741561072773e-05,0.00048548354355410064,drop_H_s
