PR_AUC,ROC_AUC,Precision,Recall,F1,Specificity,Balanced_Acc,Brier,MSE,RMSE,MAE,R2,ECE,FNR,CostRisk,tau_F1,tau_HR,tau_cost,cm_F1_tn,cm_F1_fp,cm_F1_fn,cm_F1_tp,cm_HR_tn,cm_HR_fp,cm_HR_fn,cm_HR_tp,Recall_HR,Precision_HR,FPR_HR,model,scenario,split,PR_AUC_std,FNR_std,model_code,model_name,tier,complexity_score,validation_protocol,step,Latency_ms,CompositeScore,best_PR_AUC,best_ROC_AUC,best_Precision,best_Recall,best_F1,best_Specificity,best_Balanced_Acc,best_CompositeScore,best_R2,best_FNR,best_Brier,best_MSE,best_RMSE,best_MAE,best_ECE,best_Latency_ms
0.32067946925718727,0.7836653888759328,0.49445531637312456,0.5921875,0.5389264130821187,0.9277052238805971,0.7599463619402985,0.1119674495304376,0.1119674495304376,0.3346153755140932,0.11630495276051774,-0.17503153658341675,0.11432775547149693,0.4078125,5779.0,0.0023579833847747916,0.0,0.002,9945,775,522,758,0,10720,0,1280,1.0,0.10666666666666667,1.0,A1,step2_robustness,leave-level-out,0.35569041033445886,0.19635488143159666,A1,Logistic + interactions,Tier A,1.0,V3_leave_Sgn,step2_robustness,5.103576250257902,0.5236012695699753,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
0.10666666666666667,0.5,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666666666666667,0.10666666666666667,0.32659863237109044,0.10666666666666667,-0.11940298507462677,0.10666666666666667,0.0,10720.0,0.0,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,A2,step2_robustness,leave-level-out,0.14163242538250234,0.0,A2,Shallow Decision Tree,Tier A,1.6,V3_leave_Sgn,step2_robustness,3.406412500044098,0.584,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0.10635454250351706,0.4980964683418843,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10665246696894409,0.10665246696894409,0.3265768928888633,0.10685233748682348,-0.11925396772445995,0.1064617371081334,0.0,10720.0,0.0,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,B1,step2_robustness,leave-level-out,0.12606801332522272,0.30743773095067284,B1,Random Forest (tuned),Tier B,3.0,V3_leave_Sgn,step2_robustness,18.55668750067707,0.5839115696476092,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0
0.10316790629427243,0.145463575676306,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666653408612073,0.10666653408612073,0.32659842939934774,0.10667164498259403,-0.11940159372094983,0.10666155573233653,0.0,10720.0,3.546231421259651e-07,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,B2,step2_robustness,leave-level-out,0.12686622519070695,0.0,B2,Gradient Boosting,Tier B,3.4,V3_leave_Sgn,step2_robustness,23.97761750034988,0.5826013155234102,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.10666666666666667,0.5,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666666666666667,0.10666666666666667,0.32659863237109044,0.10666666666666667,-0.11940298507462677,0.10666666666666667,0.0,10720.0,0.0,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,B3,step2_robustness,leave-level-out,0.14163242538250234,0.0,B3,Calibrated B2 (isotonic),Tier B,3.8,V3_leave_Sgn,step2_robustness,41.639507500076434,0.584,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0.09752266381524498,0.1519951026119403,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.12320220646043246,0.12320220646043246,0.35100171860039725,0.20900712910097588,-0.2929336032461429,0.19643385987922352,0.0,10720.0,4.4710884008101596e-07,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,C1,step2_robustness,leave-level-out,0.13413350869639643,0.3279335796807177,C1,Monotonic-constrained GBM,Tier C,4.4,V3_leave_Sgn,step2_robustness,18.01267875052872,0.5602631039600415,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.0784837574516047,0.3431531308302239,0.14463197374589778,0.9640625,0.25152874031797795,0.31921641791044775,0.6416394589552239,0.1106963299697044,0.1106963299697044,0.3327105798884436,0.1269217207002653,-0.16169189567087172,0.10134388067674278,0.0359375,7775.0,0.004925952757980946,0.005,0.004,3422,7298,46,1234,3423,7297,49,1231,0.96171875,0.14434803001876173,0.6806902985074627,C2,step2_robustness,leave-level-out,0.08245141198381056,0.0,C2,Physics-regularized logistic,Tier C,2.6,V3_leave_Sgn,step2_robustness,2.251593750406755,0.5593352638912487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.10666666666666667,0.5,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666645333433333,0.10666645333433333,0.32659830577382565,0.10666745333333336,-0.1194007462791511,0.10666566666666667,0.0,10720.0,1e-06,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,C3,step2_robustness,leave-level-out,0.14163242538250234,0.0,C3,Two-stage hybrid,Tier C,5.0,V3_leave_Sgn,step2_robustness,19.74969750008313,0.5840002353329333,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
