PR_AUC,ROC_AUC,Precision,Recall,F1,Specificity,Balanced_Acc,Brier,ECE,FNR,CostRisk,tau_F1,tau_HR,tau_cost,cm_F1_tn,cm_F1_fp,cm_F1_fn,cm_F1_tp,cm_HR_tn,cm_HR_fp,cm_HR_fn,cm_HR_tp,model,scenario,split,PR_AUC_std,FNR_std
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4484110466172496e-05,0.00043080498643531545,0.0,0.0,0.7888531414951262,0.994,0.10200000000000001,24388,0,0,2912,24388,0,138,2774,tierB_random_forest,step2_robustness,grouped,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9822744749450072e-10,8.780715808871011e-06,0.0,0.0,0.9999288498743996,0.999,0.001,24388,0,0,2912,24388,0,0,2912,tierB_gradient_boosting,step2_robustness,grouped,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.008224757862934e-06,2.6568602653896507e-05,0.0,0.0,0.9236641221374047,0.999,0.062,24388,0,0,2912,24388,0,17,2895,tierC_two_stage_hybrid,step2_robustness,grouped,0.0,0.0
0.999997638227156,0.9999997183806845,0.9989708404802744,1.0,0.999485155311481,0.9998769886829588,0.9999384943414794,0.0016571507475330552,0.005862124158144836,0.0,3.0,0.7165078245497815,0.988,0.6950000000000001,24385,3,0,2912,24388,0,143,2769,tierA_logistic,step2_robustness,grouped,3.596174794236693e-06,0.0
0.3559516649718289,0.8002065424222325,0.5627996164908916,0.604739010989011,0.5830160569442144,0.9439068394292275,0.7743229252091193,0.11120316254329732,0.11299959832973938,0.395260989010989,12217.0,0.001429609062015921,0.0,0.001,23020,1368,1151,1761,0,24388,0,2912,tierA_logistic,step2_robustness,leave-level-out,0.34236104420760566,0.1626881768149186
0.10666666666666667,0.49592012465146795,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666711961555717,0.10662104798564974,0.0,24388.0,0.0,0.0,0.0,0,24388,0,2912,0,24388,0,2912,tierB_random_forest,step2_robustness,leave-level-out,0.1537140201803336,0.0
0.10666666666666667,0.5,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666645333433333,0.10666566666666667,0.0,24388.0,1e-06,0.0,0.0,0,24388,0,2912,0,24388,0,2912,tierC_two_stage_hybrid,step2_robustness,leave-level-out,0.1537140201803336,0.0
0.10444444444444445,0.1316250380749315,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666655542686304,0.10666195339276553,0.0,24388.0,2.9423136582633065e-07,0.0,0.0,0,24388,0,2912,0,24388,0,2912,tierB_gradient_boosting,step2_robustness,leave-level-out,0.1470827431527347,0.0
