PR_AUC,ROC_AUC,Precision,Recall,F1,Specificity,Balanced_Acc,Brier,ECE,FNR,CostRisk,tau_F1,tau_HR,tau_cost,cm_F1_tn,cm_F1_fp,cm_F1_fn,cm_F1_tp,cm_HR_tn,cm_HR_fp,cm_HR_fn,cm_HR_tp,model,scenario,split,PR_AUC_std,FNR_std
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.519037933390569e-05,0.00048019108113406364,0.0,0.0,0.8013219915454689,0.99,0.122,24388,0,0,2912,24388,0,124,2788,tierB_random_forest,step1_static,stratified,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0122273116937742e-10,8.81423629403837e-06,0.0,0.0,0.9999025776420577,0.999,0.001,24388,0,0,2912,24388,0,0,2912,tierB_gradient_boosting,step1_static,stratified,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.954381378421573e-07,1.1363958985043634e-05,0.0,0.0,0.9440000000000001,0.999,0.015,24388,0,0,2912,24388,0,8,2904,tierC_two_stage_hybrid,step1_static,stratified,0.0,0.0
0.9999854395492254,0.9999982680412092,0.9982859101816935,1.0,0.9991422199348087,0.9997949811382647,0.9998974905691324,0.0017573244886440662,0.005839300127021965,0.0,5.0,0.7125309300526235,0.988,0.6930000000000001,24383,5,0,2912,24388,0,139,2773,tierA_logistic,step1_static,stratified,1.599805680054394e-05,0.0
0.9999326242325224,0.99999593060089,1.0,0.9941620879120879,0.9970724987084553,1.0,0.997081043956044,0.000834732868175091,0.000885355314628936,0.005837912087912088,34.0,1.0,1.0,0.001,24388,0,17,2895,24388,0,17,2895,tierA_tree,step1_static,stratified,0.000279213421068923,0.00825322024041971
0.9961407568197657,0.9995090952900634,0.9899316792520676,0.9453983516483516,0.9671526435974004,0.9988518943742825,0.972125123011317,0.03580673500899725,0.09119719940686988,0.05460164835164835,423.0,0.8042260399131634,0.786,0.668,24360,28,159,2753,24332,56,145,2767,tierC_physics_logit,step1_static,stratified,0.0003297952073688685,0.0026889570042548058
0.1632736438298773,0.4959963237977784,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.09243356248527639,0.016193693172844584,0.0,24388.0,0.05226951746332804,0.082,0.0,0,24388,0,2912,565,23823,131,2781,tierC_monotonic_hgb,step1_static,stratified,0.004555757255993269,0.3689674931011165
