PR_AUC,ROC_AUC,Precision,Recall,F1,Specificity,Balanced_Acc,Brier,MSE,RMSE,MAE,R2,ECE,FNR,CostRisk,tau_F1,tau_HR,tau_cost,cm_F1_tn,cm_F1_fp,cm_F1_fn,cm_F1_tp,cm_HR_tn,cm_HR_fp,cm_HR_fn,cm_HR_tp,Recall_HR,Precision_HR,FPR_HR,model,scenario,split,PR_AUC_std,FNR_std,model_code,model_name,tier,complexity_score,validation_protocol,step,Latency_ms,CompositeScore,best_PR_AUC,best_ROC_AUC,best_Precision,best_Recall,best_F1,best_Specificity,best_Balanced_Acc,best_CompositeScore,best_R2,best_FNR,best_Brier,best_MSE,best_RMSE,best_MAE,best_ECE,best_Latency_ms
0.9999695999174512,0.9999962832322762,0.9984387197501952,0.99921875,0.9988285825849278,0.9998134328358209,0.9995160914179104,0.0028242872478820022,0.0028242872478820022,0.05314402363278492,0.01050868172145164,0.9703607914751189,0.010050346430290012,0.00078125,12.0,0.7288538231543464,0.974,0.713,10718,2,1,1279,10720,0,64,1216,0.95,1.0,0.0,A1,step3_noise,grouped,3.07415712437753e-05,0.0007776049766718507,A1,Logistic + interactions,Tier A,1.0,V2_grouped,step3_noise,5.103576250257902,0.9970771356032841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9996157816400999,0.9999722699976679,0.9944881889763779,0.98671875,0.9905882352941177,0.9993470149253731,0.9930328824626866,0.001958642985891539,0.001958642985891539,0.04425655867655707,0.0025846564460234277,0.9794452112021643,0.001918731547966992,0.01328125,32.0,0.9340506056472375,1.0,0.001,10713,7,17,1263,10720,0,31,1249,0.97578125,1.0,0.0,A2,step3_noise,grouped,0.00037528793359814516,0.013219284603421462,A2,Shallow Decision Tree,Tier A,1.6,V2_grouped,step3_noise,3.406412500044098,0.9941266082294883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.000315762967523051,0.000315762967523051,0.017769720524618584,0.0030949243382245757,0.9966862561710501,0.0030949243382245766,0.0,0.0,0.6782461279825617,0.9400000000000001,0.402,10720,0,0,1280,10720,0,63,1217,0.95078125,1.0,0.0,B1,step3_noise,grouped,0.0,0.0,B1,Random Forest (tuned),Tier B,3.0,V2_grouped,step3_noise,18.55668750067707,0.9994094561622571,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.734820348306298e-10,2.734820348306298e-10,1.6537292246030782e-05,9.518174230109026e-06,0.9999999971299693,9.518174230111217e-06,0.0,0.0,0.9996664577618043,0.999,0.001,10720,0,0,1280,10720,0,0,1280,1.0,1.0,0.0,B2,step3_noise,grouped,0.0,0.0,B2,Gradient Boosting,Tier B,3.4,V2_grouped,step3_noise,23.97761750034988,0.9999985721644726,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0.9986041666666666,0.9992184584888061,1.0,0.9984375,0.9992181391712275,1.0,0.99921875,0.00016724980571968459,0.00016724980571968459,0.012932509645064432,0.0001776641296286872,0.9982448131396022,0.00015570237505187673,0.0015625,20.0,0.9998009719166163,1.0,0.075,10720,0,2,1278,10720,0,3,1277,0.99765625,1.0,0.0,B3,step3_noise,grouped,7.32437968609112e-06,7.324379686077134e-06,B3,Calibrated B2 (isotonic),Tier B,3.8,V2_grouped,step3_noise,41.639507500076434,0.9988045363881211,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
0.1651643118784683,0.5178640610424441,0.10669892383415366,0.99921875,0.19280922589884678,0.001119402985074627,0.5001690764925374,0.09403992772456805,0.09403992772456805,0.30665930236105354,0.1847445305564451,0.013107101771090868,0.031099822449739543,0.00078125,10718.0,0.01361137954990335,0.04,0.013000000000000001,12,10708,1,1279,381,10339,59,1221,0.95390625,0.10562283737024221,0.9644589552238806,C1,step3_noise,grouped,0.002723205115800015,0.0007849293563579278,C1,Monotonic-constrained GBM,Tier C,4.4,V2_grouped,step3_noise,18.01267875052872,0.6235113427940993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9955020713591607,0.9994319175606343,0.981346309813463,0.9453125,0.962992439315559,0.9978544776119403,0.9715834888059702,0.03689749277945032,0.03689749277945032,0.19208720097770784,0.0980301954099653,0.6127828416335671,0.09164558617523964,0.0546875,185.0,0.8000167804973648,0.783,0.667,10697,23,70,1210,10686,34,64,1216,0.95,0.9728,0.003171641791044776,C2,step3_noise,grouped,0.0014057595445836069,0.017451555332026338,C2,Physics-regularized logistic,Tier C,2.6,V2_grouped,step3_noise,2.251593750406755,0.9505543685055983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2115698317291506e-05,1.2115698317291506e-05,0.0034807611692403585,0.00012434154831482866,0.9998728529794128,0.00012434154831481318,0.0,0.0,0.7413793103448275,0.999,0.138,10720,0,0,1280,10720,0,12,1268,0.990625,1.0,0.0,C3,step3_noise,grouped,0.0,0.0,C3,Two-stage hybrid,Tier C,5.0,V2_grouped,step3_noise,19.74969750008313,0.9999765024884257,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
