PR_AUC,ROC_AUC,Precision,Recall,F1,Specificity,Balanced_Acc,Brier,MSE,RMSE,MAE,R2,ECE,FNR,CostRisk,tau_F1,tau_HR,tau_cost,cm_F1_tn,cm_F1_fp,cm_F1_fn,cm_F1_tp,cm_HR_tn,cm_HR_fp,cm_HR_fn,cm_HR_tp,Recall_HR,Precision_HR,FPR_HR,model,scenario,split,PR_AUC_std,FNR_std,model_code,model_name,tier,complexity_score,validation_protocol,step,Latency_ms,CompositeScore,best_PR_AUC,best_ROC_AUC,best_Precision,best_Recall,best_F1,best_Specificity,best_Balanced_Acc,best_CompositeScore,best_R2,best_FNR,best_Brier,best_MSE,best_RMSE,best_MAE,best_ECE,best_Latency_ms
0.9999914181173631,0.9999989797108209,0.9992193598750976,1.0,0.9996095275283092,0.9999067164179104,0.9999533582089553,0.002809359366943561,0.002809359366943561,0.05300339014575918,0.010474347864829663,0.9705174506734001,0.010342664602449609,0.0,1.0,0.731476307270704,0.975,0.7000000000000001,10719,1,0,1280,10720,0,63,1217,0.95078125,1.0,0.0,A1,step2_robustness,grouped,8.491868687177107e-06,0.0,A1,Logistic + interactions,Tier A,1.0,V2_grouped,step2_robustness,5.103576250257902,0.9973214238098004,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.9996157816400999,0.9999722699976679,0.9944881889763779,0.98671875,0.9905882352941177,0.9993470149253731,0.9930328824626866,0.001958642985891539,0.001958642985891539,0.04425655867655707,0.0025846564460234277,0.9794452112021643,0.001918731547966992,0.01328125,32.0,0.9340506056472375,1.0,0.001,10713,7,17,1263,10720,0,31,1249,0.97578125,1.0,0.0,A2,step2_robustness,grouped,0.00037528793359814516,0.013219284603421462,A2,Shallow Decision Tree,Tier A,1.6,V2_grouped,step2_robustness,3.406412500044098,0.9941266082294883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.00030468640035838135,0.00030468640035838135,0.017455268555893987,0.0030679626818539466,0.9968024981305673,0.0030679626818539444,0.0,0.0,0.7780397986741971,0.9420000000000001,0.402,10720,0,0,1280,10720,0,64,1216,0.95,1.0,0.0,B1,step2_robustness,grouped,0.0,0.0,B1,Random Forest (tuned),Tier B,3.0,V2_grouped,step2_robustness,18.55668750067707,0.9994179310375785,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.646213827180622e-10,2.646213827180622e-10,1.6267187301991152e-05,9.496225813421358e-06,0.9999999972229565,9.496225813421171e-06,0.0,0.0,0.9998383494793006,0.999,0.001,10720,0,0,1280,10720,0,0,1280,1.0,1.0,0.0,B2,step2_robustness,grouped,0.0,0.0,B2,Gradient Boosting,Tier B,3.4,V2_grouped,step2_robustness,23.97761750034988,0.9999985754602795,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.831423540327337e-07,5.831423540327337e-07,0.0007636375802910263,1.1014048635635839e-05,0.9999938802691392,1.1014048635635839e-05,0.0,0.0,0.9998009719166163,1.0,0.075,10720,0,0,1280,10720,0,2,1278,0.9984375,1.0,0.0,B3,step2_robustness,grouped,0.0,0.0,B3,Calibrated B2 (isotonic),Tier B,3.8,V2_grouped,step2_robustness,41.639507500076434,0.999998114635763,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
0.16516136528699643,0.5170893700443098,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.09404277188079267,0.09404277188079267,0.30666393964858774,0.18475268374599566,0.013077254049517206,0.03126398342672706,0.0,10720.0,0.006532616874038576,0.04,0.0,0,10720,0,1280,382,10338,59,1221,0.95390625,0.10563197508434986,0.9643656716417911,C1,step2_robustness,grouped,0.002676016158174921,0.0,C1,Monotonic-constrained GBM,Tier C,4.4,V2_grouped,step2_robustness,18.01267875052872,0.6237578398484724,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.9955074399338666,0.9994325734608209,0.981346309813463,0.9453125,0.962992439315559,0.9978544776119403,0.9715834888059702,0.03689515443163334,0.03689515443163334,0.19208111419822965,0.098026589980908,0.6128073811978778,0.09164239243093138,0.0546875,181.0,0.8000646351522469,0.783,0.672,10697,23,70,1210,10686,34,64,1216,0.95,0.9728,0.003171641791044776,C2,step2_robustness,grouped,0.0013997761948955079,0.017451555332026338,C2,Physics-regularized logistic,Tier C,2.6,V2_grouped,step2_robustness,2.251593750406755,0.9505579303362536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.081253688200878e-06,5.081253688200878e-06,0.0022541636338564417,9.142950857198821e-05,0.9999466752761266,9.142950857197562e-05,0.0,0.0,0.8983050847457629,0.999,0.113,10720,0,0,1280,10720,0,10,1270,0.9921875,1.0,0.0,C3,step2_robustness,grouped,0.0,0.0,C3,Two-stage hybrid,Tier C,5.0,V2_grouped,step2_robustness,19.74969750008313,0.9999842530722389,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
