PR_AUC,ROC_AUC,Precision,Recall,F1,Specificity,Balanced_Acc,Brier,MSE,RMSE,MAE,R2,ECE,FNR,CostRisk,tau_F1,tau_HR,tau_cost,cm_F1_tn,cm_F1_fp,cm_F1_fn,cm_F1_tp,cm_HR_tn,cm_HR_fp,cm_HR_fn,cm_HR_tp,Recall_HR,Precision_HR,FPR_HR,model,scenario,split,PR_AUC_std,FNR_std,model_code,model_name,tier,complexity_score,validation_protocol,step,Latency_ms,CompositeScore,best_PR_AUC,best_ROC_AUC,best_Precision,best_Recall,best_F1,best_Specificity,best_Balanced_Acc,best_CompositeScore,best_R2,best_FNR,best_Brier,best_MSE,best_RMSE,best_MAE,best_ECE,best_Latency_ms
0.31925598624240525,0.7831509444962687,0.5090782122905028,0.56953125,0.5376106194690264,0.9344216417910448,0.7519764458955225,0.11190878877890077,0.11190878877890077,0.33452771003147225,0.1162541437363504,-0.17441592701738218,0.11431269660692274,0.43046875,5783.0,0.0025721312271479667,0.0,0.002,10017,703,551,729,0,10720,0,1280,1.0,0.10666666666666667,1.0,A1,step3_noise,leave-level-out,0.35568008677809576,0.19597286804359745,A1,Logistic + interactions,Tier A,1.0,V3_leave_Sgn,step3_noise,5.103576250257902,0.5151279119943634,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
0.10666666666666667,0.5,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666666666666667,0.10666666666666667,0.32659863237109044,0.10666666666666667,-0.11940298507462677,0.10666666666666667,0.0,10720.0,0.0,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,A2,step3_noise,leave-level-out,0.14163242538250234,0.0,A2,Shallow Decision Tree,Tier A,1.6,V3_leave_Sgn,step3_noise,3.406412500044098,0.584,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0.10636404741626389,0.49814369315531715,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10665242730558354,0.10665242730558354,0.32657683216294375,0.10685103898901677,-0.11925355148117056,0.10646303560594013,0.0,10720.0,0.0,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,B1,step3_noise,leave-level-out,0.12606801332522272,0.30743773095067284,B1,Random Forest (tuned),Tier B,3.0,V3_leave_Sgn,step3_noise,18.55668750067707,0.5839151927033811,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0
0.10316790629427243,0.145463575676306,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666653408612073,0.10666653408612073,0.32659842939934774,0.10667164498259403,-0.11940159372094983,0.10666155573233653,0.0,10720.0,3.546231421259651e-07,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,B2,step3_noise,leave-level-out,0.12686622519070695,0.0,B2,Gradient Boosting,Tier B,3.4,V3_leave_Sgn,step3_noise,23.97761750034988,0.5826013155234102,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.10666666666666667,0.5,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666666666666667,0.10666666666666667,0.32659863237109044,0.10666666666666667,-0.11940298507462677,0.10666666666666667,0.0,10720.0,0.0,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,B3,step3_noise,leave-level-out,0.14163242538250234,0.0,B3,Calibrated B2 (isotonic),Tier B,3.8,V3_leave_Sgn,step3_noise,41.639507500076434,0.584,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
0.09751575538788118,0.15199309847248138,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.12320502902212185,0.12320502902212185,0.35100573930082946,0.20901186851860165,-0.29296322434596167,0.19641056005675486,0.0,10720.0,4.4710884008101596e-07,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,C1,step3_noise,leave-level-out,0.13409039601103767,0.3279335796807177,C1,Monotonic-constrained GBM,Tier C,4.4,V3_leave_Sgn,step3_noise,18.01267875052872,0.5602627065377905,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.07848521950740468,0.34316989272388054,0.14463197374589778,0.9640625,0.25152874031797795,0.31921641791044775,0.6416394589552239,0.11069578552649614,0.11069578552649614,0.3327097616940269,0.1269216649056005,-0.16168618206444174,0.10134323515673532,0.0359375,7775.0,0.004925133858236138,0.005,0.004,3422,7298,46,1234,3423,7297,49,1231,0.96171875,0.14434803001876173,0.6806902985074627,C2,step3_noise,leave-level-out,0.08245509144846903,0.0,C2,Physics-regularized logistic,Tier C,2.6,V3_leave_Sgn,step3_noise,2.251593750406755,0.559336163318853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.10666666666666667,0.5,0.10666666666666667,1.0,0.1927710843373494,0.0,0.5,0.10666645333433333,0.10666645333433333,0.32659830577382565,0.10666745333333336,-0.1194007462791511,0.10666566666666667,0.0,10720.0,1e-06,0.0,0.0,0,10720,0,1280,0,10720,0,1280,1.0,0.10666666666666667,1.0,C3,step3_noise,leave-level-out,0.14163242538250234,0.0,C3,Two-stage hybrid,Tier C,5.0,V3_leave_Sgn,step3_noise,19.74969750008313,0.5840002353329333,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
