feature,count,unique,top,freq,mean,std,min,25%,50%,75%,max,target_positive_rate
Tag_rate,27300.0,,,,550.0,450.0082419846706,100.0,100.0,550.0,1000.0,1000.0,0.10666666666666667
Ikssmin_kA,27300.0,,,,9.0,3.7417259171802177,3.0,6.0,9.0,12.0,15.0,0.10666666666666667
Sgn_eff_MVA,27300.0,,,,5.100000039807388,3.027705926973148,0.1000000014901161,2.5999999046325684,5.099999904632568,7.599999904632568,10.100000381469728,0.10666666666666667
H_s,27300.0,,,,2.55,1.4431133998565735,0.1,1.3,2.55,3.8,5.0,0.10666666666666667
Out_of_step,27300.0,,,,0.10666666666666667,0.30869463787418294,0.0,0.0,0.0,0.0,1.0,0.10666666666666667
invH,27300.0,,,,0.899841067665885,1.5622550755082611,0.2,0.2631578947368421,0.3923076923076923,0.7692307692307692,10.0,0.10666666666666667
Sgn_over_H,27300.0,,,,4.589189480916335,9.65796382369155,0.02000000029802322,0.9729729471979914,1.9999999730020428,3.92307684971736,101.00000381469728,0.10666666666666667
Sgn_over_Ik,27300.0,,,,0.7133052259882164,0.6207634930689881,0.006666666766007741,0.2750000059604645,0.5666666560702853,0.9333333174387614,3.3666667938232426,0.10666666666666667
Ik_over_H,27300.0,,,,8.098569608992966,15.594784320481095,0.6,2.142857142857143,3.5294117647058822,6.9230769230769225,150.0,0.10666666666666667
log_Sgn_eff_MVA,27300.0,,,,1.2790732825222322,1.0888110771524289,-2.3025850780928847,0.9555114083476542,1.6292405210307834,2.0281482347439392,2.312535461616493,0.10666666666666667
log_Ikssmin_kA,27300.0,,,,2.092778784867765,0.48320165478237387,1.0986122886681098,1.791759469228055,2.1972245773362196,2.4849066497880004,2.70805020110221,0.10666666666666667
GenName,27300,1,GR1,27300,,,,,,,,0.10666666666666667
