PR_AUC,ROC_AUC,Precision,Recall,F1,Specificity,Balanced_Acc,Brier,MSE,RMSE,MAE,R2,ECE,FNR,CostRisk,tau_F1,tau_HR,tau_cost,cm_F1_tn,cm_F1_fp,cm_F1_fn,cm_F1_tp,cm_HR_tn,cm_HR_fp,cm_HR_fn,cm_HR_tp,Recall_HR,Precision_HR,FPR_HR,model,scenario,split,PR_AUC_std,FNR_std,model_code,model_name,tier,complexity_score,validation_protocol,step,Latency_ms,CompositeScore,best_PR_AUC,best_ROC_AUC,best_Precision,best_Recall,best_F1,best_Specificity,best_Balanced_Acc,best_CompositeScore,best_R2,best_FNR,best_Brier,best_MSE,best_RMSE,best_MAE,best_ECE,best_Latency_ms
0.9105754757965498,0.990030025652985,0.8183646112600537,0.95390625,0.8809523809523809,0.9747201492537313,0.9643131996268657,0.04685258508221179,0.04685258508221179,0.21645457972103938,0.06469511027227547,0.5083100912547737,0.06285075036475565,0.04609375,521.0,0.9803179258105625,0.98,0.716,10449,271,59,1221,10447,273,59,1221,0.95390625,0.8172690763052208,0.02546641791044776,A1,step2_robustness,leave-level-out,0.09385913816815028,0.02506445304819391,A1,Logistic + interactions,Tier A,1.0,V3_leave_Ik,step2_robustness,5.103576250257902,0.9199287312310218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9995888480819748,0.999966694846082,1.0,0.98203125,0.9909341742215215,1.0,0.991015625,0.002336604086076938,0.002336604086076938,0.048338432805345874,0.003035340998022858,0.9754787351041366,0.0024168355308563398,0.01796875,39.0,1.0,1.0,0.001,10720,0,23,1257,10720,0,23,1257,0.98203125,1.0,0.0,A2,step2_robustness,leave-level-out,0.0005308394830864156,0.012200822403483962,A2,Shallow Decision Tree,Tier A,1.6,V3_leave_Ik,step2_robustness,3.406412500044098,0.9922493097687306,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0024877790166902627,0.0024877790166902627,0.049877640448303714,0.01002367736060395,0.9738922444610397,0.010023677360603946,0.0,0.0,0.627539647650325,0.65,0.439,10720,0,0,1280,10720,0,50,1230,0.9609375,1.0,0.0,B1,step2_robustness,leave-level-out,0.0,0.0,B1,Random Forest (tuned),Tier B,3.0,V3_leave_Ik,step2_robustness,18.55668750067707,0.9975013367892333,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.636919846652893e-10,5.636919846652893e-10,2.374219839579497e-05,1.0185200113195901e-05,0.9999999940843891,1.018520011320667e-05,0.0,0.0,0.9993712991315951,0.999,0.001,10720,0,0,1280,10720,0,0,1280,1.0,1.0,0.0,B2,step2_robustness,leave-level-out,0.0,0.0,B2,Gradient Boosting,Tier B,3.4,V3_leave_Ik,step2_robustness,23.97761750034988,0.9999984719945063,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005700497693945669,0.0005700497693945669,0.023875715055146872,0.0013588432270624652,0.9940176679984245,0.001358843227062465,0.0,0.0,0.4059349204791497,1.0,0.036000000000000004,10720,0,0,1280,10720,0,60,1220,0.953125,1.0,0.0,B3,step2_robustness,leave-level-out,0.0,0.0,B3,Calibrated B2 (isotonic),Tier B,3.8,V3_leave_Ik,step2_robustness,41.639507500076434,0.9995681536081829,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
0.1775104077333271,0.5522998411263993,0.14610276127228242,0.3265625,0.2018836029944458,0.7721082089552239,0.549335354477612,0.09330161368692377,0.09330161368692377,0.30545312846151007,0.18977992139956393,0.020855266811667494,0.02985742893777652,0.6734375,10720.0,0.13708600067189308,0.046,0.0,8277,2443,862,418,484,10236,56,1224,0.95625,0.1068062827225131,0.9548507462686567,C1,step2_robustness,leave-level-out,0.01083704709904603,0.07195156189375011,C1,Monotonic-constrained GBM,Tier C,4.4,V3_leave_Ik,step2_robustness,18.01267875052872,0.3935017782778948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.992510343634196,0.9987763817630597,0.9941715237302248,0.9328125,0.962515114873035,0.9993470149253731,0.9660797574626866,0.034663249265889914,0.034663249265889914,0.18618068983084662,0.09327599727341497,0.636229893431659,0.08681257510207595,0.0671875,311.0,0.8156291899285057,0.741,0.658,10713,7,86,1194,10653,67,64,1216,0.95,0.9477786438035853,0.00625,C2,step2_robustness,leave-level-out,0.003248648446404174,0.002970472343025247,C2,Physics-regularized logistic,Tier C,2.6,V3_leave_Ik,step2_robustness,2.251593750406755,0.946601326482011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0013155266643230148,0.0013155266643230148,0.03627018974754633,0.0052824022041088065,0.9861943330469833,0.0052824022041087935,0.0,0.0,0.6410256410256411,0.717,0.291,10720,0,0,1280,10720,0,59,1221,0.95390625,1.0,0.0,C3,step2_robustness,leave-level-out,0.0,0.0,C3,Two-stage hybrid,Tier C,5.0,V3_leave_Ik,step2_robustness,19.74969750008313,0.9986814290036544,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0
