t,PR_AUC,Recall,FNR
5460,0.9890148967343664,0.9925149700598802,0.0074850299401197605
5461,0.9889844213498888,0.992503748125937,0.0074962518740629685
5462,0.9889538150365776,0.9924924924924925,0.0075075075075075074
5463,0.9889230770323488,0.9924812030075187,0.007518796992481203
5464,0.9888922065695233,0.9924698795180723,0.007530120481927711
5465,0.9888612028747771,0.9924585218702866,0.007541478129713424
5466,0.9888300651690912,0.9924471299093656,0.0075528700906344415
5467,0.9887987926677015,0.9924357034795764,0.007564296520423601
5468,0.9887673845800466,0.9924242424242424,0.007575757575757576
5469,0.9887358401097169,0.992412746585736,0.007587253414264037
5470,0.9887041584544018,0.9924012158054711,0.007598784194528876
5471,0.988672338805837,0.9923896499238964,0.0076103500761035
5472,0.9886433767200988,0.9923780487804879,0.007621951219512195
5473,0.9886112891238839,0.9923664122137404,0.007633587786259542
5474,0.988579061128836,0.9923547400611621,0.00764525993883792
5475,0.9885466919027315,0.9923430321592649,0.007656967840735069
5476,0.9885141806071237,0.9923312883435583,0.007668711656441718
5477,0.9884815263972874,0.9923195084485407,0.007680491551459293
5478,0.9884487284221615,0.9923076923076923,0.007692307692307693
5479,0.988415785824292,0.9922958397534669,0.007704160246533128
5480,0.9883826977397738,0.9922839506172839,0.007716049382716049
5481,0.9883494632981924,0.9922720247295209,0.0077279752704791345
5482,0.9883160816225637,0.9922600619195047,0.007739938080495356
5483,0.9882825518292753,0.9922480620155039,0.007751937984496124
5484,0.9882488730280251,0.9922360248447205,0.007763975155279503
5485,0.988218174933115,0.9922239502332815,0.007776049766718507
5486,0.9883526547485564,0.9922118380062306,0.00778816199376947
5487,0.9883190564411642,0.9921996879875195,0.0078003120124804995
5488,0.9882853079898546,0.9921875,0.0078125
5489,0.9882514084855731,0.9921752738654147,0.00782472613458529
5490,0.9882173570123212,0.9921630094043887,0.007836990595611285
5491,0.988183152647093,0.9921507064364207,0.007849293563579277
5492,0.9881476511652886,0.9921383647798742,0.007861635220125786
5493,0.9881131357707849,0.9921259842519685,0.007874015748031496
5494,0.9880784646647229,0.9921135646687698,0.007886435331230283
5495,0.988043636895378,0.9921011058451816,0.007898894154818325
5496,0.9880086515036864,0.9920886075949367,0.007911392405063292
5497,0.9879735075231777,0.9920760697305864,0.00792393026941363
5498,0.9879370483695264,0.9920634920634921,0.007936507936507936
5499,0.9879015817943836,0.9920508744038156,0.00794912559618442
